participant_id,group,baseline_self_efficacy,followup_self_efficacy,completed_plan,missing_reason
SYN-001,comparison,49.0,53.4,1,
SYN-002,guided,49.0,60.2,1,
SYN-003,comparison,62.6,72.6,1,
SYN-004,guided,43.6,57.8,1,
SYN-005,comparison,46.2,65.8,1,
SYN-006,guided,61.8,71.8,1,
SYN-007,comparison,45.0,49.2,1,
SYN-008,guided,44.9,47.2,1,
SYN-009,comparison,53.5,52.2,0,
SYN-010,guided,44.2,50.2,1,
SYN-011,comparison,43.1,41.6,0,
SYN-012,guided,47.2,50.9,1,
SYN-013,comparison,50.9,54.6,1,
SYN-014,guided,33.7,39.1,1,
SYN-015,comparison,45.3,42.2,0,
SYN-016,guided,59.4,67.8,1,
SYN-017,comparison,54.4,,,synthetic_schedule_conflict
SYN-018,guided,51.7,55.0,1,
SYN-019,comparison,61.7,60.1,0,
SYN-020,guided,59.3,67.9,1,
SYN-021,comparison,58.8,57.6,0,
SYN-022,guided,55.4,60.9,1,
SYN-023,comparison,38.1,32.4,0,
SYN-024,guided,37.8,36.0,0,
SYN-025,comparison,69.0,72.6,1,
SYN-026,guided,37.8,45.4,1,
SYN-027,comparison,37.0,41.0,1,
SYN-028,guided,59.5,65.5,1,
SYN-029,comparison,41.7,41.3,0,
SYN-030,guided,45.9,51.5,1,
SYN-031,comparison,36.6,40.9,1,
SYN-032,guided,53.8,61.5,1,
SYN-033,comparison,57.7,59.9,1,
SYN-034,guided,59.3,64.1,1,
SYN-035,comparison,57.8,58.6,0,
SYN-036,guided,46.6,52.9,1,
SYN-037,comparison,44.4,44.4,0,
SYN-038,guided,49.8,59.8,1,
SYN-039,comparison,53.3,58.8,1,
SYN-040,guided,52.6,56.7,1,
SYN-041,comparison,65.8,65.7,0,
SYN-042,guided,57.1,66.6,1,
SYN-043,comparison,38.1,49.2,1,
SYN-044,guided,56.2,,,synthetic_schedule_conflict
SYN-045,comparison,60.2,61.7,1,
SYN-046,guided,43.2,56.2,1,
SYN-047,comparison,53.4,54.3,0,
SYN-048,guided,52.2,68.9,1,
SYN-049,comparison,50.6,49.6,0,
SYN-050,guided,45.0,47.0,1,
SYN-051,comparison,56.3,58.7,1,
SYN-052,guided,44.6,56.9,1,
SYN-053,comparison,59.5,54.8,0,
SYN-054,guided,59.7,62.7,1,
SYN-055,comparison,50.3,56.1,1,
SYN-056,guided,34.0,42.6,1,
SYN-057,comparison,46.1,44.8,0,
SYN-058,guided,49.7,56.1,1,
SYN-059,comparison,61.8,67.2,1,
SYN-060,guided,61.1,69.2,1,
